,image_urls
104,https://m.media-amazon.com/images/I/81lxH4mbkML._AC_UL320_.jpg
105,https://m.media-amazon.com/images/I/61sX2nlrsnL._AC_UL320_.jpg
106,https://m.media-amazon.com/images/I/81pzz-O9JUL._AC_UL320_.jpg
107,https://m.media-amazon.com/images/I/616HWQYVgcL._AC_UL320_.jpg
108,https://m.media-amazon.com/images/I/51xchUx1zlL._AC_UL320_.jpg
109,https://m.media-amazon.com/images/I/51jGhP2WA8L._AC_UL320_.jpg
110,https://m.media-amazon.com/images/I/41IJ-cBarjL._AC_UL320_.jpg
111,https://m.media-amazon.com/images/I/61ybV3M+jFL._AC_UL320_.jpg
112,https://m.media-amazon.com/images/I/51vnrSvW4JL._AC_UL320_.jpg
113,https://m.media-amazon.com/images/I/81nUMPI5ZBL._AC_UL320_.jpg
114,https://m.media-amazon.com/images/I/51MiRqqt7AL._AC_UL320_.jpg
115,https://m.media-amazon.com/images/I/41XLLMvDvRL._AC_UL320_.jpg
116,https://m.media-amazon.com/images/I/517YexZuK7L._AC_UL320_.jpg
117,https://m.media-amazon.com/images/I/51e+GS-8pkL._AC_UL320_.jpg
118,https://m.media-amazon.com/images/I/71W82jbPchL._AC_UL320_.jpg
119,https://m.media-amazon.com/images/I/61NXuO3c80L._AC_UL320_.jpg
120,https://m.media-amazon.com/images/I/61hq-+zP7gL._AC_UL320_.jpg
121,https://m.media-amazon.com/images/I/51uH-Q5S5bL._AC_UL320_.jpg
122,https://m.media-amazon.com/images/I/61MDSD6Cr1L._AC_UL320_.jpg
123,https://m.media-amazon.com/images/I/61KQJMYMrUL._AC_UL320_.jpg
124,https://m.media-amazon.com/images/I/71ruCDkx2xL._AC_UL320_.jpg
125,https://m.media-amazon.com/images/I/71Ec87IZK9L._AC_UL320_.jpg
126,https://m.media-amazon.com/images/I/5116Mr7RzSL._AC_UL320_.jpg
127,https://m.media-amazon.com/images/I/51+PSLxLt7L._AC_UL320_.jpg
128,https://m.media-amazon.com/images/I/615Lle3RsGL._AC_UL320_.jpg
129,https://m.media-amazon.com/images/I/61-PMdZS9kL._AC_UL320_.jpg
130,https://m.media-amazon.com/images/I/71wUIjwC3lL._AC_UL320_.jpg
131,https://m.media-amazon.com/images/I/518yZy0mUkL._AC_UL320_.jpg
132,https://m.media-amazon.com/images/I/61VlBD+KRFL._AC_UL320_.jpg
